nom_commun,nom_scientifique,type_plante,exigences_soleil,besoins_eau,type_sol,periode_floraison,hauteur_mature_pieds,etalement_mature_pieds,region_indigene,niveau_soin,valeur_faune,methode_propagation,plantes_compagnes,caracteristiques_speciales
Échinacée pourpre,Echinacea purpurea,Vivace,Plein soleil,Faible,Bien drainé,Juil-Sept,2-3,1.5-2,Est des États-Unis,Facile,Élevée - Papillons/Oiseaux,Graine/Division,Rudbeckie;Monarde sauvage,Résistante à la sécheresse
Rudbeckie hérissée,Rudbeckia fulgida,Vivace,Plein soleil,Faible-Moyen,Adaptable,Juin-Oct,1-3,1-2,Est des États-Unis,Facile,Élevée - Papillons/Oiseaux,Graine/Division,Échinacée pourpre;Petit bluestem,Floraison prolongée
Monarde sauvage,Monarda fistulosa,Vivace,Plein soleil à partiel,Moyen,Bien drainé,Juil-Sept,2-4,1-2,Est des États-Unis,Facile,Élevée - Abeilles/Papillons,Graine/Division,Échinacée pourpre;Sporobole,Aromatique
Petit bluestem,Schizachyrium scoparium,Graminée ornementale,Plein soleil,Faible,Bien drainé,Août-Oct,2-4,1-2,Amérique du Nord,Facile,Moyenne - Oiseaux,Graine,Rudbeckie;Indigo sauvage,Couleur automnale
Indigo sauvage,Amorpha canescens,Arbuste,Plein soleil,Faible,Sableux/Argile,Juin-Juil,2-3,2-3,Grandes Plaines,Facile,Élevée - Fixateur d'azote,Graine,Petit bluestem;Sauge des prairies,Racine pivotante profonde
Aster de Nouvelle-Angleterre,Symphyotrichum novae-angliae,Vivace,Plein soleil,Moyen,Humide,Août-Oct,3-6,2-3,Est des États-Unis,Modéré,Très élevée - Pollinisateurs tardifs,Graine/Division,Verge d'or;Eupatoire maculée,Floraison tardive
Verge d'or,Solidago speciosa,Vivace,Plein soleil,Faible,Bien drainé,Août-Oct,2-5,1-3,Est des États-Unis,Facile,Très élevée - Papillons,Graine/Division,Aster de Nouvelle-Angleterre;Monarde sauvage,Fleurs voyantes
Ancolie sauvage,Aquilegia canadensis,Vivace,Ombre partielle,Moyen,Rocheux/Bien drainé,Avr-Juin,1-2,1-1.5,Est des États-Unis,Modéré,Élevée - Colibris,Graine,Gingembre sauvage;Sanguinaire,Tolère l'ombre
Sanguinaire du Canada,Sanguinaria canadensis,Vivace,Ombre à partiel,Moyen,Riche/Humide,Mars-Avr,0.5-1,0.5-1,Est des États-Unis,Modéré,Moyenne - Printemps précoce,Graine/Division,Ancolie sauvage;Trille,Éphémère
Gingembre sauvage,Asarum canadense,Vivace,Ombre,Moyen,Riche/Humide,Avr-Mai,0.5,1-2,Est des États-Unis,Facile,Faible - Couvre-sol,Division,Sanguinaire;Arisème petit-prêcheur,Couvre-sol
Épicéa aromatique,Lindera benzoin,Arbuste,Ombre partielle,Moyen,Humide,Mars-Avr,6-12,6-10,Est des États-Unis,Facile,Très élevée - Oiseaux/Papillons,Graine,Gingembre sauvage;Sureau,Plante hôte
Sureau du Canada,Sambucus canadensis,Arbuste,Plein soleil à partiel,Moyen,Humide,Juin-Juil,5-12,5-12,Amérique du Nord,Facile,Très élevée - Oiseaux/Insectes,Graine/Boutures,Épicéa aromatique;Cornouiller,Baies comestibles
Sporobole à soies inégales,Sporobolus heterolepis,Graminée ornementale,Plein soleil,Faible,Bien drainé,Août-Sept,1.5-3,1.5-2,Grandes Plaines,Facile,Élevée - Oiseaux,Graine,Monarde sauvage;Échinacée pourpre,Parfumé
Lupin sauvage,Lupinus perennis,Vivace,Plein soleil,Faible-Moyen,Sableux/Acide,Mai-Juin,1-2,1-1.5,Est des États-Unis,Modéré,Très élevée - Papillon bleu Karner,Graine,Petit bluestem;Indigo sauvage,Fixateur d'azote
Ail penché,Allium cernuum,Vivace,Plein soleil à partiel,Faible,Bien drainé,Juil-Août,1-2,0.5-1,Amérique du Nord,Facile,Élevée - Abeilles/Papillons,Graine/Division,Sauge des prairies;Achillée,Comestible
Sauge des prairies,Artemisia ludoviciana,Vivace,Plein soleil,Faible,Bien drainé,Août-Sept,2-4,2-3,Grandes Plaines,Facile,Moyenne - Papillons de nuit,Graine/Division,Ail penché;Herbe de buffle,Feuillage aromatique
Fraisier des bois,Fragaria virginiana,Vivace,Soleil partiel,Moyen,Bien drainé,Avr-Juin,0.3-0.5,1-3,Amérique du Nord,Facile,Moyenne - Couvre-sol,Stolons,Gingembre sauvage;Violettes,Fruits comestibles
Violette commune,Viola sororia,Vivace,Ombre partielle,Moyen,Humide,Mars-Mai,0.3-0.5,0.5-1,Est des États-Unis,Facile,Élevée - Papillons fritillaires,Graine,Fraisier des bois;Podophylle,Auto-ensemencement
Podophylle pelté,Podophyllum peltatum,Vivace,Ombre,Moyen,Riche/Humide,Avr-Mai,1-1.5,1-2,Est des États-Unis,Facile,Moyenne - Couvre-sol,Division,Violette commune;Trille,Feuilles en parasol
Arisème petit-prêcheur,Arisaema triphyllum,Vivace,Ombre,Moyen,Riche/Humide,Avr-Juin,1-3,1-1.5,Est des États-Unis,Modéré,Moyenne - Spécialisée,Graine/Division,Gingembre sauvage;Podophylle,Fleurs uniques
